,topicos
13,"['storm', 'market', 'stock', 'index', 'new_york', 'blizzard', 'interest_rate', 'flight', 'weather', 'water', 'federal_reserve', 'kentucky', 'city', 'earning', 'bank', 'investor', 'road', 'friday', 'stock_market', 'price']"
14,"['company', 'car', 'google', 'tesla', 'business', 'yahoo', 'market', 'sale', 'startup', 'product', 'amazon', 'investor', 'employee', 'customer', 'revenue', 'microsoft', 'app', 'technology', 'stock', 'model']"
15,"['citizen', 'haley', 'palin', 'obama', 'supreme_court', 'senate', 'court', 'garland', 'president', 'nominee', 'citizenship', 'mccain', 'canada', 'mcconnell', 'biden', 'constitution', 'law', 'birth', 'republicans', 'senator']"
16,"['trump', 'rubio', 'percent', 'voter', 'poll', 'delegate', 'state', 'vote', 'florida', 'primary', 'kasich', 'race', 'support', 'point', 'candidate', 'republicans', 'lead', 'election', 'party', 'campaign']"
17,"['migrant', 'germany', 'refugee', 'police', 'europe', 'border', 'cologne', 'britain', 'breitbart_london', 'woman', 'merkel', 'asylum_seeker', 'centre', 'new_eve', 'migration', 'london', 'country', 'european_union', 'austria', 'turkey']"
18,"['abortion', 'planned_parenthood', 'woman', 'life', 'child', 'mother', 'health', 'pregnancy', 'video', 'law', 'birth_control', 'body_part', 'practice', 'birth', 'richards', 'business', 'exception', 'right', 'puzzle', 'abortionist']"
19,"['people', 'america', 'world', 'thing', 'power', 'party', 'government', 'obama', 'history', 'life', 'politic', 'culture', 'conservative', 'class', 'movement', 'americans', 'war', 'word', 'course', 'country']"
20,"['february', 'pastor', 'debra_messing', 'dunham', 'susan_sarandon', 'coburn', 'gopdebate', 'sarandon', 'baptist_church', 'celebrity', 'january', 'actress', 'maher', 'county', 'hollywood', 'joke', 'star', 'colbert', 'patton_oswalt', 'ross']"
21,"['clinton', 'email', 'state_department', 'information', 'server', 'investigation', 'hillary_clinton', 'document', 'clinton_foundation', 'fbi', 'material', 'request', 'official', 'department', 'letter', 'gates', 'secretary_state', 'government', 'agency', 'record']"
22,"['isis', 'islamic_state', 'syria', 'russia', 'group', 'iraq', 'putin', 'war', 'libya', 'terrorist', 'force', 'attack', 'middle_east', 'fighter', 'refugee', 'threat', 'saudi_arabia', 'india', 'militant', 'terrorism']"
23,"['gawker', 'sex', 'hogan', 'rivera', 'allen', 'woods', 'andrews', 'ford', 'anderson', 'trial', 'times', 'san_francisco', 'harvey', 'lawsuit', 'medal', 'child', 'attorney', 'sex_tape', 'court', 'club']"
24,"['breitbart_news', 'bannon', 'breitbart', 'caddell', 'stephen_bannon', 'executive_chairman', 'murdoch', 'siriusxm_patriot', 'pearson', 'daily', 'patriot_channel', 'rupert_murdoch', 'daily_air', 'interview', 'update_listener', 'daily_host', 'host_stephen', 'daily_sirius', 'record_follow', 'common_core']"
25,"['percent', 'education', 'job', 'worker', 'program', 'americans', 'school', 'university', 'government', 'report', 'state', 'money', 'population', 'income', 'cost', 'plan', 'study', 'rate', 'number', 'student']"
26,"['zika', 'health', 'zika_virus', 'virus', 'brazil', 'mosquito', 'disease', 'microcephaly', 'doctor', 'drug', 'outbreak', 'patient', 'venezuela', 'case_zika', 'latin_america', 'infection', 'cancer', 'scientist', 'woman', 'symptom']"
27,"['protester', 'police', 'lewandowski', 'reporter', 'officer', 'incident', 'protest', 'rally', 'march', 'video', 'pic_twitter', 'arizona', 'police_officer', 'fields', 'corey_lewandowski', 'car', 'law_enforcement', 'michelle_fields', 'campaign_manager', 'arpaio']"
28,"['scalia', 'supreme_court', 'justice_scalia', 'justice', 'court', 'constitution', 'justice_antonin', 'right', 'marriage', 'roberts', 'scalia_death', 'heller', 'death', 'judge', 'law', 'decision', 'president', 'madonna', 'dickerson', 'second_amendment']"
29,"['israel', 'islam', 'muslims', 'muslim', 'hamas', 'tel_aviv', 'religion', 'muslim_brotherhood', 'breitbart_jerusalem', 'mosque', 'aipac', 'jihad', 'peace', 'allah', 'netanyahu', 'islamic', 'egypt', 'middle_east', 'terrorist', 'palestinians']"
30,"['police', 'child', 'woman', 'family', 'boy', 'crime', 'victim', 'death', 'mother', 'prison', 'murder', 'taliban', 'son', 'father', 'park', 'brother', 'daughter', 'court', 'police_officer', 'hospital']"
31,"['beck', 'christians', 'church', 'levin', 'pope_francis', 'faith', 'jesus', 'christian', 'francis', 'glenn_beck', 'pastor', 'evangelical', 'vatican', 'reagan', 'bishop', 'christ', 'nancy_reagan', 'bible', 'priest', 'piper']"
32,"['luntz', 'rousseff', 'drug', 'willow', 'mendoza', 'carnival', 'doctor', 'heroin', 'brazil', 'opioid', 'athlete', 'ebola', 'addiction', 'rio_janeiro', 'marijuana', 'rate', 'frank_luntz', 'witch', 'olympics', 'summer_olympics']"
33,"['breitbart_texas', 'mexico', 'guzman', 'cartel', 'los_zetas', 'chapo', 'agent', 'prison_sentence', 'coahuila', 'city', 'gunman', 'authority', 'border', 'drug_lord', 'border_patrol', 'texas', 'prison', 'july', 'drug', 'drug_cartel']"
34,"['carson', 'rally', 'chicago', 'protester', 'trump', 'campaign', 'cnn', 'event', 'violence', 'supporter', 'tyler', 'tapper', 'protest', 'ben_carson', 'stage', 'news', 'story', 'donald_trump', 'crowd', 'rick_tyler']"
35,"['iran', 'north_korea', 'obama', 'sailor', 'cuba', 'china', 'missile', 'island', 'sanction', 'president', 'navy', 'sea', 'weapon', 'iranians', 'castro', 'south_china', 'united_states', 'tehran', 'regime', 'region']"
36,"['gun', 'gun_control', 'background_check', 'obama', 'second_amendment', 'common_core', 'firearm', 'awr_hawkins', 'awrhawkins_breitbart', 'twitter_awrhawkin', 'shooting', 'gun_violence', 'law', 'action', 'american_radio', 'analyst_armed', 'columnist_breitbart', 'right', 'hawkins', 'texas']"
37,"['student', 'school', 'university', 'campus', 'black_lives', 'shapiro', 'matter', 'black', 'beyonce', 'event', 'teacher', 'statue', 'professor', 'georgetown', 'college', 'protest', 'racism', 'group', 'black_panther', 'community']"
38,"['sanders', 'clinton', 'campaign', 'nevada', 'new_hampshire', 'hillary_clinton', 'bernie_sanders', 'hillary', 'south_carolina', 'caucus', 'voter', 'bernie', 'february', 'democrat', 'supporter', 'precinct', 'poll', 'primary', 'victory', 'candidate']"
39,"['manning', 'nfl', 'super_bowl', 'denver', 'game', 'simmons', 'panthers', 'newton', 'broncos', 'carolina', 'espn', 'quarterback', 'peyton_manning', 'season', 'sport', 'player', 'team', 'league', 'chiefs', 'tony_lee']"
